"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.10.5","66.22.217.4","UDP","242","56749  >  50003 Len=200"
"2","0.000003","172.20.10.5","66.22.217.4","UDP","242","56749  >  50003 Len=200"
"3","0.000031","172.20.10.5","66.22.217.4","UDP","314","56749  >  50003 Len=272"
"4","0.005952","172.20.10.5","66.22.217.4","UDP","116","56749  >  50003 Len=74"
"5","0.010568","172.20.10.5","66.22.217.4","UDP","242","56749  >  50003 Len=200"
"6","0.010687","172.20.10.5","66.22.217.4","UDP","242","56749  >  50003 Len=200"
"7","0.010728","172.20.10.5","66.22.217.4","UDP","314","56749  >  50003 Len=272"
"8","0.015583","172.20.10.5","66.22.217.4","UDP","1091","56749  >  50003 Len=1049"
"9","0.018048","172.20.10.5","66.22.217.4","UDP","1091","56749  >  50003 Len=1049"
"10","0.020320","172.20.10.5","66.22.217.4","UDP","1091","56749  >  50003 Len=1049"
"11","0.022744","172.20.10.5","66.22.217.4","UDP","1091","56749  >  50003 Len=1049"
"12","0.029514","172.20.10.5","66.22.217.4","UDP","116","56749  >  50003 Len=74"
"13","0.041609","172.20.10.5","66.22.217.4","UDP","116","56749  >  50003 Len=74"
"14","0.049572","172.20.10.5","66.22.217.4","UDP","1218","56749  >  50003 Len=1176"
"15","0.053676","172.20.10.5","66.22.217.4","UDP","1218","56749  >  50003 Len=1176"
"16","0.053742","172.20.10.5","66.22.217.4","UDP","1219","56749  >  50003 Len=1177"
"17","0.057378","172.20.10.5","66.22.217.4","UDP","1219","56749  >  50003 Len=1177"
"18","0.057421","172.20.10.5","66.22.217.4","UDP","1219","56749  >  50003 Len=1177"
"19","0.061055","172.20.10.5","66.22.217.4","UDP","1219","56749  >  50003 Len=1177"
"20","0.065099","172.20.10.5","66.22.217.4","UDP","116","56749  >  50003 Len=74"
"21","0.085112","172.20.10.5","66.22.217.4","UDP","1095","56749  >  50003 Len=1053"
"22","0.088946","172.20.10.5","66.22.217.4","UDP","116","56749  >  50003 Len=74"
"23","0.088986","172.20.10.5","66.22.217.4","UDP","1095","56749  >  50003 Len=1053"
"24","0.092840","172.20.10.5","66.22.217.4","UDP","1096","56749  >  50003 Len=1054"
"25","0.100917","66.22.216.117","172.20.10.5","UDP","127","50002  >  53854 Len=85"
"26","0.108793","66.22.216.117","172.20.10.5","RTCP","94","Receiver Report   "
"27","0.112318","172.20.10.5","66.22.217.4","UDP","116","56749  >  50003 Len=74"
"28","0.118778","172.20.10.5","66.22.217.4","UDP","931","56749  >  50003 Len=889"
"29","0.120675","66.22.217.4","172.20.10.5","UDP","110","50003  >  56749 Len=68"
"30","0.120676","66.22.216.117","172.20.10.5","UDP","127","50002  >  53854 Len=85"
